species,dbh,condition,ndvi_count,sample_ndvi,ndvi_median,ndvi_stdev,ndvi_min,ndvi_max,ndvi_range,file,method,preds
ACPL,22.5,Fair,20,0.466605384647846,0.478732347488403,0.063784719258161,0.302543699741364,0.539573013782501,0.237029314041138,park,LiDAR,good
ACMA,54.3,Poor,15,0.468540757894516,0.463429808616638,0.045661760944029,0.399205893278122,0.533745944499969,0.134540051221848,park,LiDAR,poor
ACPL,22,Fair,14,0.638742374522345,0.636970341205597,0.007850866368566,0.624491930007935,0.653753995895386,0.029262065887451,park,LiDAR,good
ACMA,21.3,Fair,2.042618671064531,0.526516158824554,0.527874767780304,0.008303655801932,0.509730577468872,0.53626549243927,0.026534914970398,park,LiDAR,fair
PSME,39.5,Fair,13,0.530349543461433,0.528272747993469,0.020488074438003,0.494257926940918,0.562588810920715,0.068330883979797,park,LiDAR,good
PSME,34,Fair,51,0.502823209061342,0.527438998222351,0.054101178577927,0.358472794294357,0.568335056304932,0.209862262010574,park,LiDAR,good
ACMA,22.5,Fair,3,0.63298588991165206,0.634160339832306,0.003137575121985,0.628692984580994,0.636104345321655,0.007411360740662,park,LiDAR,good
ACPL,22.4,Fair,21,0.531812981480644,0.539675951004028,0.046738045563928,0.41345202922821,0.591182231903076,0.177730202674866,park,LiDAR,good
ACMA,13.4,Good,3,0.609004775683085,0.600767135620117,0.017831363123662,0.592482805252075,0.633764386177063,0.041281580924988,park,LiDAR,good
PSME,19.8,Fair,32,0.48417847417295,0.488741174340248,0.033115976328306,0.400318115949631,0.532982409000397,0.132664293050766,park,LiDAR,good
ACPL,22,Fair,17,0.55487453586915,0.564920246601105,0.046560508442289,0.454425364732742,0.604775369167328,0.150350004434586,park,LiDAR,good
ACPL,35.8,Fair,51,0.581383284400491,0.58614182472229,0.043207911715112,0.429218500852585,0.632515132427216,0.203296631574631,park,LiDAR,good
THPL,24,Fair,7,0.518782700811114,0.520440578460693,0.025297698041959,0.475108921527863,0.562165081501007,0.087056159973145,park,LiDAR,poor
ACMA,9,Good,6,0.395920480291049,0.398155733942986,0.011509212706872,0.377816081047058,0.412459313869476,0.034643232822418,park,LiDAR,poor
THPL,27.7,Fair,1.392694548465372,0.412452133358762,0.388537526130676,0.045492527614837,0.332617580890656,0.461132735013962,0.128515154123306,park,LiDAR,fair
ACMA,21.7,Fair,9,0.582599858442942,0.590183317661285,0.024917815735279,0.539762258529663,0.615338027477264,0.075575768947601,park,LiDAR,good
THPL,41.1,Fair,11,0.496013007380746,0.496690601110458,0.014001052697061,0.467697829008102,0.518905341625214,0.051207512617111,park,LiDAR,poor
ACMA,35,Fair,10,0.557981431484222,0.557014465332031,0.013506603075696,0.535420298576355,0.579739689826965,0.04431939125061,park,LiDAR,good
ACMA,39.1,Fair,33,0.506030815117287,0.51333624124527,0.059484518869251,0.390233397483826,0.593483448028564,0.203250050544739,park,LiDAR,fair
ACPL,24.1,Fair,24,0.526354630788167,0.545946031808853,0.038743305011296,0.406174689531326,0.577495634555817,0.17132094502449,park,LiDAR,good
THPL,40.8,Fair,14,0.507567695208958,0.510725051164627,0.020644348573716,0.467831283807755,0.543042480945587,0.075211197137833,park,LiDAR,poor
ACMA,29,Fair,4,0.52932308614254,0.528071820735931,0.004406012327319,0.524699687957764,0.536449015140533,0.01174932718277,park,LiDAR,fair
PSME,37.1,Fair,17,0.49241023905137,0.49108037352562,0.018503149283929,0.471170514822006,0.539839684963226,0.06866917014122,park,LiDAR,good
THPL,14.2,Fair,12,0.488169034322103,0.497461885213852,0.039349460706376,0.404451280832291,0.541868150234222,0.137416869401932,park,LiDAR,poor
ACMA,17.8,Fair,5,0.516950488090515,0.517252147197723,0.006940175619498,0.508722841739655,0.526073694229126,0.017350852489471,park,LiDAR,fair
THPL,37.2,Good,13,0.49285024863023,0.492222487926483,0.029589444092521,0.421200305223465,0.533266305923462,0.112066000699997,park,LiDAR,poor
PSME,36.7,Fair,11,0.48072889176282,0.476701349020004,0.034406857148071,0.437404751777649,0.533543825149536,0.096139073371887,park,LiDAR,good
PSME,15.1,Fair,1.021309335534067,0.51277039528406,0.518048286437988,0.007646588198746,0.50950413942337,0.527485728263855,0.017981588840485,park,LiDAR,good
PSME,32,Fair,11,0.468459579077634,0.468205094337463,0.012148229432997,0.4517802298069,0.493765473365784,0.041985243558884,park,LiDAR,good
ACPL,23,Fair,18,0.618263976441489,0.623590856790543,0.022434104631159,0.559539020061493,0.647282183170319,0.087743163108826,park,LiDAR,good
ACMA,42.1,Fair,14,0.448718590395791,0.446483358740807,0.016980600366938,0.419969499111176,0.490667581558228,0.070698082447052,park,LiDAR,poor
PSME,35.3,Fair,3,0.502258797486623,0.499928534030914,0.012773668107322,0.487910151481628,0.518937706947327,0.031027555465698,park,LiDAR,good
